AL HADEED TRADERS
Chart of Inventory Items
1 	OIl
3010002 	Guard Brake Oil 350ml
3010003 	Guard Brake Oil 500ml
(ZEEXEL) Brake Oil	302
3020001 	ZEEXEL Brake Oil 500ml
3020002 	ZEEXEL Brake Oil 200ml
3020003 	ZEEXEL Brake Oil 750ml
(Atlas) Brake Oil	303
3030001 	Atlas Brake Oil 350ml
3030002 	Atlas Brake Oil 500ml
Total Number of Items :- 	8
4 	Grease
Atlas Grease	401
4010001 	Atlas Grease 1kg
PK Grease	402
4020001 	(Heflon) Grease 1KG
4020002 	(Heflon) Grease 1/2KG
4020003 	(Booster) Grease 1/2KG
4020004 	(Sino pec) Grease Bag 1KG
4020005 	(Heflon) Grease Bag 1KG
4020006 	(Khamassso) Grease Bag 1KG
4020007 	(Gold) Grease Bag 1KG
4020008 	(Gold) Grease Bag 1/2KG
4020009 	Grease 11KG
4020010 	Grease Booster 11KG
4020011 	Grease Chitta Black 11KG
4020012 	(JET POWER) GREASE Bag 1KG
4020013 	(SINOLON) 0.5KG
Total Number of Items :- 14
5 	Polish
Body Polish	501
5010001 	Body Polish (7CF)
5010002 	Body Polish (Flamingo)
5010003 	Body Polish (Formula)
Interior Cleaner	502
5020001 	Spray Polish (7CF) Brown
5020002 	Brake & Pasrts Cleaner (7CF)
5020003 	Spray Polish (Flamingo) 220ml
5020004 	Foamy Cleaner (7CF)
5020005 	Interior Cleaner WOW
5020006 	Spray Polish (Flamingo) 450ml
5020007 	Leather Polsh (Flamingo) 500ml
Laster Polish	503
5030001 	Kink Laste
5030002 	GMSA Laste
Total Number of Items :- 12
6 	Cleaner
Fuel Cleaner	601
6010001 	Diesel Fuel System Dredge (Flamingo) 354ml
6010002 	Fuel Injector Cleaner (Flamingo) 354ml
Radiator Cleaner	602
6020001 	Radiator Cleaner Flush (Flamingo)
6020002 	Radiator Cleaner Rust Preventive
Page 6 of 8	Date 5/14/2026 	Printed By: Administrator

-- 6 of 8 --

Engine Cleaner	603
6030001 	Engine Cleaner Motor Flush (Flamingo)
6030002 	Super Oil Treatment (Flamingo)
6030003 	Engine Cleaner spray
Carburetor spray	604
6040001 	Injector Cleaner 220ml (Flamingo)
6040002 	Injector Cleaner 450ml (Flamingo)
Glass Cleaner	605
6050001 	FIX Glass Cleaner
6050002 	Windshield Washer (Flamingo)
Total Number of Items :- 11
7 	Wash Service
Wash Service	701
7010001 	Wash Service 100
7010002 	Wash Service 200
7010003 	Wash Service 300
7010004 	Wash Service 400
7010005 	Wash Service 500
7010006 	Wash Service 600
7010007 	Wash Service 700
7010008 	Wash Service 800
7010009 	Wash Service 900
7010010 	Wash Service 1000
7010011 	Wash Service 1100
7010012 	Wash Service 1200
7010013 	Wash Service 1300
7010014 	Wash Service 1400
7010015 	Wash Service 1500
7010016 	Wash Tall
Total Number of Items :- 16
8 	Perfume
Room Spray	801
8010001 	Room Spray 4R
8010002 	Room Spray 3R
8010003 	Room Spray AL REHAB
